date,store,category,name,qty,weight_kg,unit_price,total_price,discount,iva_band
2026-07-02,Continente,Mercearia Salgada,SNACK BAT PAPRIKA PRINGL 175G,1.0,,2.49,2.49,0.5,C
2026-07-02,Continente,Mercearia Salgada,PRINGLES LOADED FRIES 165G,1.0,,1.99,1.99,1.26,C
2026-07-02,Continente,Mercearia Salgada,PRINGLES CHEESEBURGUER 165G,1.0,,1.99,1.99,1.26,C
2026-07-02,Continente,Mercearia Salgada,(I) FRASCO PRETZELS STICKS CNT,1.0,,1.69,1.69,0.0,C
2026-07-02,Continente,Soft Drinks,CERV.C/ALC.STELLA ARTOIS TP 33C,1.0,,2.29,2.29,0.0,C
2026-07-02,Continente,Soft Drinks,CERV C/ALC PERONI NASTRO AZZURR,1.0,,1.99,1.99,0.0,C
2026-07-02,Continente,Charcutaria&Queijos,QJ COTTAGE PHILADELPHIA 175G,1.0,,1.89,1.89,0.0,A
2026-07-02,Continente,Pequeno Almoco,CCAFE DELTA ANGOLAF ANGOL DELTA,1.0,,3.89,3.89,2.1,C
2026-07-02,Continente,Frutas e Legumes,BANANA,1.0,,1.47,1.47,0.0,A
2026-06-27,Continente,Mercearia Salgada,SNAC BAT NATAS&CEBOLA PRINGL 17,1.0,,2.49,2.49,0.5,C
2026-06-27,Continente,Mercearia Salgada,SARDINHA TOMATE RAMIREZ 125G,1.0,,1.79,1.79,0.0,A
2026-06-27,Continente,Mercearia Salgada,PETINGA EM TOMATE RAMIREZ 90G,1.0,,1.34,1.34,0.45,A
2026-06-27,Continente,Mercearia Salgada,SARDINHA TOM PIC BOMPET 78G,1.0,,1.69,1.69,0.0,A
2026-06-27,Continente,Mercearia Salgada,PAPRIKA MARGAO SAQ. 35G,1.0,,1.44,1.44,0.0,C
2026-06-27,Continente,Mercearia Salgada,PAPRIKA FUMADA MARGAO SAQ 35G,1.0,,1.59,1.59,0.0,C
2026-06-27,Continente,Mercearia Salgada,PIMENTAO DOCE COLORAU MARGAO SA,1.0,,1.84,1.84,0.0,C
2026-06-27,Continente,Mercearia Salgada,MIST ERVAS CARNE SAQ 24G MARGAO,1.0,,2.54,2.54,0.85,C
2026-06-27,Continente,Mercearia Salgada,MAIONESE CONTINENTE FRASCO 419G,1.0,,1.89,1.89,0.0,C
2026-06-27,Continente,Mercearia Salgada,ERVILHAS COZIDAS CONTINENTE 260,1.0,,0.89,0.89,0.0,C
2026-06-27,Continente,Mercearia Salgada,KETCHUP PICANTE CONTINENTE 560G,1.0,,1.49,1.49,0.0,C
2026-06-27,Continente,Mercearia Salgada,FILETE DE CAVALA OLEO CNT 85G,1.0,,1.49,1.49,0.0,A
2026-06-27,Continente,Mercearia Salgada,MOLHO DE SOJA CONTINENTE 200ML,3.0,,0.99,2.97,0.0,C
2026-06-27,Continente,Mercearia Salgada,TORTILHA TRIGO WRAP CNT 370G,1.0,,1.59,1.59,0.0,C
2026-06-27,Continente,Mercearia Salgada,MOLHO SWEET CHILLI CNT 200ML,1.0,,1.49,1.49,0.0,C
2026-06-27,Continente,Mercearia Doce,BOLACHA TUC CREAM CR BACON 100G,1.0,,0.99,0.99,0.45,C
2026-06-27,Continente,Mercearia Doce,BOLACHA TUC CREAM CR ONION 100G,1.0,,0.99,0.99,0.45,C
2026-06-27,Continente,Mercearia Doce,MARSHMALLOWS CONTINENTE 300GR,1.0,,1.99,1.99,0.0,C
2026-06-27,Continente,Mercearia Doce,TABLETE MILKA CHOC LEITE 90G,1.0,,2.49,2.49,0.0,C
2026-06-27,Continente,Mercearia Doce,TAB CHOC LEITE MILKA BUBBLY90G,1.0,,2.49,2.49,0.0,C
2026-06-27,Continente,Mercearia Doce,SNACK KINDER DELICE CACAU 390G,1.0,,6.79,6.79,0.0,C
2026-06-27,Continente,Mercearia Doce,GOMAS FINI LAPIS BRILHO 90G,1.0,,1.29,1.29,0.0,C
2026-06-27,Continente,Soft Drinks,COMPAL FAMILIA LARANJA/TANG 1L,1.0,,1.29,1.29,0.0,A
2026-06-27,Continente,Soft Drinks,NECT.CONTINENTE LARANJA 1L,1.0,,1.19,1.19,0.0,A
2026-06-27,Continente,Soft Drinks,AGUA S/GAS MONCHIQUE 5L,5.0,,1.65,8.25,0.0,B
2026-06-27,Continente,Higiene,DEO ROLL ON MEN 50ML,1.0,,2.69,2.69,1.8,C
2026-06-27,Continente,Higiene,PASTA AQUA PROTECAO CARIES 75ML,1.0,,1.86,1.86,0.63,C
2026-06-27,Continente,Higiene,GEL DE BANHO 2EM1 400ML,1.0,,1.39,1.39,0.0,C
2026-06-27,Continente,Higiene,GEL DE BANHO 2EM1 400ML,1.0,,1.39,1.39,0.0,C
2026-06-27,Continente,Higiene,SL CREMOSO DOYPACK MYLABEL 1L,1.0,,1.59,1.59,0.0,C
2026-06-27,Continente,Higiene,GB PALM AROMA DELIGHT 500ML,1.0,,2.99,2.99,2.0,C
